study,soil_texture,citation,sampling_year,main_rooting_zone_(cm),sand,silt,clay,bd_(g_m3),som_(g_g),soc_(g_g),soil_total_c_(g_g),soil_total_n_(g_g),soil_cn,ph_h2o,ph_cacl2,other_info
almeria,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alp_weissenstein,sandy_loam,NA,NA,30,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
andes,NA,homeier_et_al_2012,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols_developed_on_paleozoic_metamorphosed_schists_and_sandstones
ardmore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normangee
asa,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
aseda,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
axalp_abies,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,6.8,NA,rendzic_leptosol
bangorface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dystric_cambisol
bayreuth_event1,loamy_sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bergur,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,humous_sandy_loam
biforface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orthic_luvisol
birmensdorf,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birmensdorf_a,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birmensdorf_c,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bister_breite,loamy_sand,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,6.9,NA,NA
bister_chumme,loamy_sand,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,7.1,NA,NA
bleckstugan,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
bonanza_creek_2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typic_cryofluvents
bordeaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,humic_podzol
boyupbrook,sand,white_et_al_2009,2000,NA,NA,NA,NA,NA,NA,0.0153,NA,0.0008,19.1,NA,NA,NA
braunschweig_cambisol,loamy_sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
braunschweig_chernosem,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
braunschweig_field,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brna,NA,holub_et_al_2012,2004,NA,NA,NA,NA,NA,0.0348,NA,NA,NA,NA,6.1,NA,artificially_prepared_substrate_of_river_sand
canyonlands_national_park,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
canyonlands_national_park_b,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
capo_caccia,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cascade_mountains,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
casserio,sandy_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,5.4,NA,NA
changbai,NA,chen_et_al_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eutric_cambisol
changbai_mountain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dark_brown_forest_soil
clocaenog,organic,sowerby_et_al_2008,NA,NA,NA,NA,NA,90000,0.89,NA,NA,NA,37.4,3.9,NA,NA
clocaenog,organic,sowerby_et_al_2008,NA,80,NA,NA,NA,210000,0.41,NA,NA,NA,18.5,3.7,NA,NA
clocaenog,organic,sowerby_et_al_2008,NA,NA,NA,NA,NA,110000,0.65,NA,NA,NA,22.5,3.7,NA,NA
colorado_b,sandy_loam,wertin_et_al_2015,NA,NA,NA,NA,NA,1350000,NA,NA,NA,NA,NA,NA,NA,NA
colorado_c,sandy_loam,wertin_et_al_2015,NA,NA,NA,NA,NA,1350000,NA,NA,NA,NA,NA,NA,NA,NA
combazin,sandy_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6.5,NA,NA
cotton_33.95_-83.38,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cper08,NA,byrne_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aridic_argiustolls
daqinggou,NA,li_et_al_2011,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,ustipsamment
drex,NA,shinoda_et_al_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kastanozem
duolun_xian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chestnut
erlenbach,sandy_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,6.9,NA,NA
euroface_pa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pachic_xerumbrepts
euroface_pooled,loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
faejemyr,organic,lund_et_al_2009,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ombrotrophic_bog
farabol,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
flakalidenwtc,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
foun,sandy_clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fourier,silty_clay_loam,benot_et_al_2013,NA,NA,NA,NA,NA,NA,0.164,NA,NA,NA,NA,NA,NA,NA
fulophaza,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fulophaza_b,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fwc,sandy_clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gaolan,silt_loam,zhang_et_al_2018,2013,NA,NA,NA,NA,NA,NA,0.0075,NA,0.001,NA,8.52,NA,NA
haeggsjoeliden,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4,NA,cambisols
hainich-dun,clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harbin,NA,ni_et_al_2012,2010,NA,NA,NA,NA,NA,NA,NA,0.0162,0.00126,12.85714286,NA,NA,udic_mollisols
harvard,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine_sandy_loam
haskell_field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cumulic_haplustoll
hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entisols
hawke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acidic_orthic_brown_soils
hays,NA,byrne_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typic_argiustolls
helsinki,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hf_f_mh,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hf_f_pr,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hgc_ap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sand_perlite_peat_1_1_1
hgc_ba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sand_perlite_peat_1_1_1
hgc_bp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sand_perlite_peat_1_1_1
himalaya,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
himalaya_b,silty_clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hochwald_sylvatica,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,6.9,NA,rendzic_leptosol
hohenheim_2010,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loess-derived_stagnic_luvisol_wth_silt_loam_texture
horsham_face8yl,clay,lam_et_al_2012,NA,NA,NA,NA,37,1300000,NA,0.011,NA,0.0014,7.857142857,8.33,NA,vertosol
horsham_face8yn,clay,lam_et_al_2012,NA,NA,NA,NA,37,1300000,NA,0.011,NA,0.0014,7.857142857,8.33,NA,vertosol
horsham_face9yn,clay,lam_et_al_2012,NA,NA,NA,NA,37,1300000,NA,0.011,NA,0.0014,7.857142857,8.33,NA,vertosol
hunenberg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisol
imgers_hg_2006,loamy_sand,gong_et_al_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0008,NA,NA,NA,loamy_sand_calcic_chernozem
imgers_hg_pulse,NA,chen_et_al_2008,NA,NA,NA,NA,NA,1330000,NA,NA,0.01613,0.00151,10.68211921,NA,NA,chestnut
imgers_mg_2006,loamy_sand,gong_et_al_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,NA,NA,NA,loamy_sand_calcic_chernozem
imgers_ng_pulse,NA,chen_et_al_2008,NA,NA,NA,NA,NA,1210000,NA,NA,0.01911,0.00169,11.30769231,NA,NA,chestnut
imgers_pooled_2006,loamy_sand,gong_et_al_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loamy_sand_calcic_chernozem
irvine_ranch_1,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
irvine_ranch_2,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
itatinga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ferralsols
jaedras,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
jilin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sodic_saline_meadow_soil
jornada,sandy_loam,reichmann_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joy_birch,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_peat
jrbp_face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thermic_typic_haploxeralfs
jrbp_otc2sand,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
katelijne_2016,sand,verlinden_et_al_2018,2016,NA,NA,NA,NA,1379000,NA,0.0044,NA,NA,NA,6.84,NA,NA
katelijne_2017,sand,ven_et_al_2019a,2017,NA,NA,NA,NA,1379000,NA,0.0045,NA,NA,NA,6.19,NA,NA
kemijaervi,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4.2,NA,cambisols
kffl09,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kiskun_sag,sand,rousk_et_al_2013,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
konza_2009,silty_clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
krauchthal,loamy_sand,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,7,NA,NA
laikipia,NA,ngatia_et_al_2015,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,vertilsols
langrivier,NA,lu_et_al_2022,NA,NA,NA,NA,NA,NA,NA,NA,0.01635,0.00084,19.46428571,NA,NA,NA
leuk1,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liudaogou,NA,jia_et_al_2012,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,loessal
loevnaes,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
losalamos,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luangcheng,loam,liu_et_al_2013,2009,NA,NA,NA,NA,NA,0.0145,NA,NA,0.0011,NA,8.1,NA,NA
luneburg_field_2009,NA,meyer-grunefeldt_et_al_2015,2009,NA,NA,NA,NA,NA,NA,0.363,NA,0.0128,28.359375,3.25,NA,podzol
luneburg_gh_drought_molinia,organic,friedrich_et_al_2012,2008,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,humus
lurengo_abies,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,0.0115,23.3,4.1,NA,ferralic_cambisol
maoershan_larix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hap-boric_luvisol
maricopaface_wheat93,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maricopaface_wheat94,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maricopaface_wheat96,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maricopaface_wheat97,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
massachusetts,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mbs_pt2,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mend,NA,wilsey_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vertisol_ustert
mes,NA,yin_et_al_2013,2007,NA,NA,NA,NA,890000,NA,NA,0.078,0.0045,17.33333333,5.5,NA,NA
moehlin_sylvatica,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,0.0137,20.1,3.8,NA,haplic_acrisol
mols,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mongolia,sand,lu_et_al_2011,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calci_orthic_aridisol
monthey,sandy_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,6.3,NA,NA
munchen,sandy_loam,taeger_et_al_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
munich,sandy_loam,zhang_et_al_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sandy_loam_to_loamy_sand
negrentino,sandy_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,5.2,NA,NA
nemitz,NA,meyer-grunefeldt_et_al_2015,2009,NA,NA,NA,NA,NA,NA,0.413,NA,0.0133,NA,4.2,NA,podzol
norraeker,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4.4,NA,cambisols
norrliden,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.12,NA,cambisols
orsay_glasshouse_2006,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orsay_glasshouse_2013,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patagonia,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pepeekeo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typic_hydrudands
pinos,silt_loam,limousin_et_al_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pree,clay_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,6,NA,NA
quebrada,sand,leon_et_al_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
quinta,NA,katterer_et_al_1995,1986,NA,NA,NA,NA,NA,NA,NA,0.00255,0.000225,11.33333333,6,NA,podzol
roetiboden_abies,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,3.3,NA,cambic_podzol
rothamsted,silty_clay_loam,barraclough_et_al_1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flinty_silty_clay_loam_(batcombe_series)
russel,silt_loam,skinner_et_al_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sand,clay,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sankan,clay,NA,NA,120,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
santa_ana_foothills_grassland,sandy_loam,alster_et_al_2013,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA
santa_ana_foothills_shrubland,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sarobetsu,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sphagnum_peat_bog
satara,clay_loam,koerner_&_collins_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
schorfheide-chorin,loamy_sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
schwaebische_alb,clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scottriver,sand,white_et_al_2009,2000,NA,NA,NA,NA,NA,NA,0.0326,NA,0.0011,29.6,NA,NA,NA
sgs,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
shaaxi_330,sand,han_et_al_2011,2007,NA,NA,NA,NA,NA,NA,0.00299,NA,0.0003,NA,NA,NA,ust-sandic_entisols
shaaxi_330_bungeana,sand,han_et_al_2011,2007,NA,NA,NA,NA,NA,NA,0.00299,NA,0.0003,NA,NA,NA,ust-sandic_entisols
shaaxi_330_davarica,sand,han_et_al_2011,2007,NA,NA,NA,NA,NA,NA,0.00299,NA,0.0003,NA,NA,NA,ust-sandic_entisols
shaaxi_6,sand,han_et_al_2011,2007,NA,NA,NA,NA,NA,NA,0.00399,NA,0.00036,NA,NA,NA,ust-sandic_entisols
shaaxi_6_bungeana,sand,han_et_al_2011,2007,NA,NA,NA,NA,NA,NA,0.00399,NA,0.00036,NA,NA,NA,ust-sandic_entisols
shaaxi_6_davarica,sand,han_et_al_2011,2007,NA,NA,NA,NA,NA,NA,0.00399,NA,0.00036,NA,NA,NA,ust-sandic_entisols
shaihanba,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sjaellirimsheden,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4.85,NA,cambisols
skogaby,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
sodankylae,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4.1,NA,cambisols
somazzo,sandy_loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,5.5,NA,NA
sorbas,NA,ladron_de_guevara_et_al_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gypsiric_leptosols
soyfaceb,silt_loam,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soyfaced,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soyfaced_maiz,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soyfacetobacco9,silt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
st_face_ld,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sandy_ranker_and_podzols
st_face_pu,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sandy_ranker_and_podzols
storflaket,NA,lund_et_al_2009,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry_to_semi-dry_ombrotrophic
strasan,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
stubaim2010,clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sydney,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tabernas,sand,miranda_et_al_2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tapajos,clay,davidson_et_al_2008,1998,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,4.5,NA,NA
tasface,clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clayey_black_vertisol
texas,clay_loam,ansley_et_al_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine_smectitic_thermic_typic_paleustalfs_of_the_kamay_series_with_clay_loam_textures
thun,loamy_sand,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,6.8,NA,NA
tsu,silty_clay_loam,deng_et_al_2017,2011,NA,NA,NA,NA,NA,NA,NA,0.00237,0.00014,16.92857143,NA,NA,talbott_silt_clay_loam
ultuna,clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vaquerias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xerosols
vaquerias_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,xerosols
vikki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vertic_stagnosols
walchwil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gleysol
walkerbranch,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
waurika,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zaneis–pawhuska_complex
wengernalp_abies,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,3.7,NA,cambic_podzol
whim,organic,kivimaki_et_al_2013,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_bog
winnter,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wsla,sandy_loam,kuster_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acidic_soil
wslc,sandy_loam,kuster_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calcareous_soil
yunwushan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calci_orthic_aridisol
zackenberg,NA,christiansen_et_al_2012,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gravel_mineral_soil
zollikofen,loam,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,5.4,NA,NA
zugerberg_sylvatica,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,4,NA,dystric_cambisol
